Tilda UID;SKU;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;VAT;FFD1;FFD2
100000000001;M001;Мясо на углях;Шашлык из свинины;Свиная шейка в авторском маринаде. Порция 250 г;;;550.0000;;;;;100000000001;;;;
100000000002;M002;Мясо на углях;Люля-кебаб;Рубленая свинина и говядина со специями на шампуре. Порция 300 г;;;640.0000;;;;;100000000002;;;;
100000000003;M003;Мясо на углях;Куриное бедро;Нежное филе бедра, приготовленное на мангале. Порция 200 г;;;400.0000;;;;;100000000003;;;;
100000000004;M004;Мясо на углях;Куриная грудка;Филе на живом огне — сочно и легко. Порция 250 г;;;400.0000;;;;;100000000004;;;;
100000000005;M005;Мясо на углях;Крылья на мангале;Хрустящие снаружи, сочные внутри. Порция 500 г;;;800.0000;;;;;100000000005;;;;
100000000006;M006;Мясо на углях;Креветки на гриле;Обжаренные на огне креветки с дымком. Порция 200 г;;;620.0000;;;;;100000000006;;;;
100000000007;M007;Мясо на углях;Стейк из сёмги;Нежная сёмга на гриле, сочная внутри. от 300 г;;;1260.0000;;;;;100000000007;;;;
100000000008;V001;Овощи и гриль;Овощи на огне;Болгарский перец, кабачки, помидоры, грибы в фирменном соусе. Порция 500 г;;;900.0000;;;;;100000000008;;;;
100000000009;V002;Овощи и гриль;Грибы на огне;Шампиньоны на мангале — с дымком и зеленью. Порция 300 г;;;540.0000;;;;;100000000009;;;;
100000000010;V003;Овощи и гриль;Картофель в беконе;Запечённый на углях картофель в хрустящем беконе. Порция 500 г;;;550.0000;;;;;100000000010;;;;
100000000011;K001;Комплексы;Комплекс №1 — Свинина;Свинина на углях + лук маринованный + соус + лаваш;;;490.0000;;;;;100000000011;;;;
100000000012;K002;Комплексы;Комплекс №2 — Куриное бедро;Куриное бедро на углях + лук маринованный + соус + лаваш;;;460.0000;;;;;100000000012;;;;
100000000013;L001;Шашлык в лаваше;Свинина в лаваше;Шашлык из свинины, маринованный лук, соус. Порция 300 г;;;450.0000;;;;;100000000013;;;;
100000000014;L002;Шашлык в лаваше;Курица в лаваше;Шашлык из курицы, маринованный лук, соус. Порция 300 г;;;450.0000;;;;;100000000014;;;;
100000000015;S001;Шаурма;Шаурма Классик;Курица, капуста, морковь по-корейски, огурец, помидор, классический соус. Порция 350 г;;;450.0000;;;;;100000000015;;;;
100000000016;S002;Шаурма;Шаурма Острая;Курица, капуста, морковь, огурец, помидор, острый соус, халапеньо. Порция 350 г;;;470.0000;;;;;100000000016;;;;
100000000017;S003;Шаурма;Шаурма Сырная;Курица, капуста, огурцы, помидоры, фирменный соус, тёртая моцарелла. Порция 350 г;;;480.0000;;;;;100000000017;;;;
100000000018;Z001;Закуски;Морковь по-корейски;Остро-пряный маринад от шефа. 100 г;;;120.0000;;;;;100000000018;;;;
100000000019;Z002;Закуски;Лук маринованный;Идеально к шашлыку. 100 г;;;150.0000;;;;;100000000019;;;;
100000000020;Z003;Закуски;Капуста маринованная;По домашнему рецепту от шефа. 100 г;;;120.0000;;;;;100000000020;;;;
100000000021;Z004;Закуски;Картофель фри;Золотистый, хрустящий. 100 г;;;180.0000;;;;;100000000021;;;;
100000000022;Z005;Закуски;Картофель по-деревенски;С румяной корочкой и специями. 100 г;;;180.0000;;;;;100000000022;;;;
100000000023;Z006;Закуски;Сырные палочки;С тягучим сыром внутри. 5 шт.;;;200.0000;;;;;100000000023;;;;
100000000024;Z007;Закуски;Нагетсы;Хрустящие куриные кусочки. 5 шт.;;;250.0000;;;;;100000000024;;;;
100000000025;Z008;Закуски;Креветки в панировке;Хрустящие с золотой корочкой. 5 шт.;;;250.0000;;;;;100000000025;;;;
100000000026;Z009;Закуски;Цезарь с курицей;Листья салата, курица, соус, помидоры черри, сыр пармезан. 200 г;;;300.0000;;;;;100000000026;;;;
100000000027;SC01;Соусы;Барбекю;Дымный, насыщенный соус. 70 г;;;100.0000;;;;;100000000027;;;;
100000000028;SC02;Соусы;Кетчуп;Томатный, классический соус. 70 г;;;100.0000;;;;;100000000028;;;;
100000000029;SC03;Соусы;Кавказский;Пряный авторский соус. 70 г;;;120.0000;;;;;100000000029;;;;
100000000030;SC04;Соусы;Чесночный;Сливочный соус с чесноком. 70 г;;;100.0000;;;;;100000000030;;;;
100000000031;N001;Напитки;Чай чёрный / зелёный;Горячий чай на выбор. 350 мл;;;120.0000;;;;;100000000031;;;;
100000000032;N002;Напитки;Американо;Классический чёрный кофе. 350 мл;;;150.0000;;;;;100000000032;;;;
100000000033;N003;Напитки;Капучино;Эспрессо с молочной пенкой. 350 мл;;;160.0000;;;;;100000000033;;;;
100000000034;N004;Напитки;Латте;Мягкий кофе с молоком. 350 мл;;;160.0000;;;;;100000000034;;;;
100000000035;N005;Напитки;Флэт уайт;Двойной эспрессо с молоком. 350 мл;;;160.0000;;;;;100000000035;;;;
100000000036;N006;Напитки;Мокачино;Кофе с шоколадом и молоком. 350 мл;;;160.0000;;;;;100000000036;;;;
100000000037;N007;Напитки;Раф банановый;Эспрессо, сливки, банановый сироп. 350 мл;;;160.0000;;;;;100000000037;;;;
100000000038;N008;Напитки;Горячий шоколад;Насыщенный шоколадный напиток. 350 мл;;;160.0000;;;;;100000000038;;;;
100000000039;N009;Напитки;Шоколад с молоком;Мягкий шоколадный напиток. 350 мл;;;160.0000;;;;;100000000039;;;;
100000000040;N010;Напитки;Морс комбо;Смородина, вишня, клюква. 350 мл;;;150.0000;;;;;100000000040;;;;
